                           count;                counter.set.name;                    counter.name
                             234;                   Mapping_Cache;                            miss
                          194870;                   Mapping_Cache;                             hit
                         1180000;               channel_busy_time;       channel_1-read-background
                         1160000;               channel_busy_time;       channel_0-read-background
                      6369800000;               channel_busy_time;      channel_2-write-foreground
                      6369800000;               channel_busy_time;      channel_1-write-foreground
                         1160000;               channel_busy_time;       channel_2-read-background
                          100000;               channel_busy_time;       channel_3-read-foreground
                      6369600000;               channel_busy_time;      channel_0-write-foreground
                          100000;               channel_busy_time;       channel_0-read-foreground
                         1180000;               channel_busy_time;       channel_3-read-background
                           20000;               channel_busy_time;       channel_2-read-foreground
                      6369600000;               channel_busy_time;      channel_3-write-foreground
                           20000;               channel_busy_time;       channel_1-read-foreground
                             246;                       flash_ops;                         OP_READ
                          127394;                       flash_ops;                        OP_WRITE
                       260902912;                         traffic;                           write
                       138645504;                         traffic;                         discard
                           24576;                         traffic;                            read
                          127394;                     translation;              overwrite-in-cache
                             234;                     translation;             read-trans-for-load
