                           count;                counter.set.name;                    counter.name
                             234;                   Mapping_Cache;                            miss
                          195476;                   Mapping_Cache;                             hit
                         1180000;               channel_busy_time;       channel_1-read-background
                         1160000;               channel_busy_time;       channel_0-read-background
                         1180000;               channel_busy_time;       channel_3-read-background
                      6400000000;               channel_busy_time;      channel_1-write-foreground
                         1160000;               channel_busy_time;       channel_2-read-background
                           40000;               channel_busy_time;       channel_3-read-foreground
                      6400000000;               channel_busy_time;      channel_0-write-foreground
                           40000;               channel_busy_time;       channel_0-read-foreground
                      6400000000;               channel_busy_time;      channel_2-write-foreground
                           80000;               channel_busy_time;       channel_2-read-foreground
                      6400000000;               channel_busy_time;      channel_3-write-foreground
                           80000;               channel_busy_time;       channel_1-read-foreground
                             246;                       flash_ops;                         OP_READ
                          128000;                       flash_ops;                        OP_WRITE
                       262144000;                         traffic;                           write
                       138645504;                         traffic;                         discard
                           24576;                         traffic;                            read
                          128000;                     translation;              overwrite-in-cache
                             234;                     translation;             read-trans-for-load
